game,seed,odin_is_black,winner_color,outcome,num_moves,elapsed_sec,cpp_winner_matches
0,12648430,1,1,odin,147,2.191,1
1,12648431,0,1,cpp,88,1.66,1
2,12648432,1,2,cpp,95,1.528,1
3,12648433,0,1,cpp,91,1.663,1
4,12648434,1,2,cpp,119,1.863,1
5,12648435,0,2,odin,113,1.726,1
6,12648436,1,2,cpp,93,1.55,1
7,12648437,0,1,cpp,87,1.552,1
8,12648438,1,2,cpp,92,1.609,1
9,12648439,0,2,odin,125,1.77,1
10,12648440,1,2,cpp,86,1.605,1
11,12648441,0,1,cpp,171,2.458,1
12,12648442,1,2,cpp,95,1.561,1
13,12648443,0,2,odin,76,1.469,1
14,12648444,1,1,odin,87,1.654,1
15,12648445,0,2,odin,76,1.487,1
16,12648446,1,2,cpp,119,1.947,1
17,12648447,0,1,cpp,128,1.968,1
18,12648448,1,1,odin,109,1.804,1
19,12648449,0,1,cpp,114,1.64,1
20,12648450,1,1,odin,75,1.539,1
21,12648451,0,2,odin,119,1.735,1
22,12648452,1,2,cpp,76,1.534,1
23,12648453,0,1,cpp,100,1.551,1
24,12648454,1,1,odin,97,1.584,1
25,12648455,0,1,cpp,154,2.273,1
26,12648456,1,2,cpp,74,1.454,1
27,12648457,0,2,odin,96,1.664,1
28,12648458,1,1,odin,93,1.521,1
29,12648459,0,2,odin,107,1.765,1
30,12648460,1,1,odin,99,1.597,1
31,12648461,0,1,cpp,102,1.583,1
32,12648462,1,1,odin,85,1.644,1
33,12648463,0,2,odin,124,1.905,1
34,12648464,1,2,cpp,92,1.52,1
35,12648465,0,1,cpp,182,2.651,1
36,12648466,1,1,odin,106,1.784,1
37,12648467,0,1,cpp,103,1.72,1
38,12648468,1,1,odin,101,1.555,1
39,12648469,0,2,odin,90,1.617,1
40,12648470,1,2,cpp,111,1.857,1
41,12648471,0,2,odin,62,1.456,1
42,12648472,1,1,odin,79,1.577,1
43,12648473,0,1,cpp,123,1.785,1
44,12648474,1,2,cpp,76,1.462,1
45,12648475,0,2,odin,95,1.573,1
46,12648476,1,2,cpp,139,1.927,1
47,12648477,0,2,odin,109,1.659,1
48,12648478,1,2,cpp,82,1.544,1
49,12648479,0,1,cpp,81,1.533,1
50,12648480,1,1,odin,57,1.081,1
51,12648481,0,1,cpp,94,1.58,1
52,12648482,1,2,cpp,78,1.5,1
53,12648483,0,2,odin,72,1.437,1
54,12648484,1,1,odin,131,2.109,1
55,12648485,0,2,odin,101,1.635,1
56,12648486,1,1,odin,138,2.072,1
57,12648487,0,2,odin,193,2.744,1
58,12648488,1,2,cpp,113,1.719,1
59,12648489,0,1,cpp,89,1.611,1
60,12648490,1,2,cpp,159,2.176,1
61,12648491,0,2,odin,136,2.048,1
62,12648492,1,2,cpp,137,1.867,1
63,12648493,0,2,odin,113,1.658,1
64,12648494,1,2,cpp,95,1.539,1
65,12648495,0,1,cpp,98,1.652,1
66,12648496,1,1,odin,124,1.892,1
67,12648497,0,2,odin,123,1.882,1
68,12648498,1,2,cpp,115,1.816,1
69,12648499,0,1,cpp,143,2.162,1
70,12648500,1,2,cpp,121,1.779,1
71,12648501,0,2,odin,128,1.917,1
72,12648502,1,2,cpp,96,1.623,1
73,12648503,0,1,cpp,89,1.53,1
74,12648504,1,2,cpp,105,1.617,1
75,12648505,0,1,cpp,132,2.038,1
76,12648506,1,1,odin,93,1.581,1
77,12648507,0,2,odin,149,2.275,1
78,12648508,1,1,odin,111,1.735,1
79,12648509,0,2,odin,133,1.969,1
80,12648510,1,1,odin,93,1.591,1
81,12648511,0,1,cpp,115,1.993,1
82,12648512,1,1,odin,125,1.804,1
83,12648513,0,2,odin,119,1.825,1
84,12648514,1,2,cpp,101,1.654,1
85,12648515,0,1,cpp,100,1.531,1
86,12648516,1,2,cpp,107,1.718,1
87,12648517,0,2,odin,106,1.734,1
88,12648518,1,1,odin,87,1.559,1
89,12648519,0,2,odin,72,1.408,1
90,12648520,1,2,cpp,116,1.831,1
91,12648521,0,1,cpp,77,1.555,1
92,12648522,1,1,odin,95,1.683,1
93,12648523,0,2,odin,108,1.733,1
94,12648524,1,2,cpp,84,1.491,1
95,12648525,0,2,odin,68,1.379,1
96,12648526,1,1,odin,117,1.747,1
97,12648527,0,1,cpp,127,2.085,1
98,12648528,1,1,odin,101,1.641,1
99,12648529,0,2,odin,100,1.67,1
