game,seed,odin_is_black,winner_color,outcome,num_moves,elapsed_sec,cpp_winner_matches
0,12648430,1,1,odin,83,11.396,1
1,12648431,0,1,cpp,196,30.354,1
2,12648432,1,1,odin,83,11.957,1
3,12648433,0,2,odin,86,13.416,1
4,12648434,1,2,cpp,87,12.541,1
5,12648435,0,2,odin,76,11.111,1
6,12648436,1,1,odin,91,14.198,1
7,12648437,0,2,odin,80,12.441,1
8,12648438,1,1,odin,87,12.886,1
9,12648439,0,1,cpp,145,22.606,1
10,12648440,1,1,odin,85,11.959,1
11,12648441,0,2,odin,78,11.88,1
12,12648442,1,2,cpp,149,21.084,1
13,12648443,0,1,cpp,200,30.817,1
14,12648444,1,2,cpp,104,15.127,1
15,12648445,0,2,odin,82,11.547,1
16,12648446,1,2,cpp,83,11.607,1
17,12648447,0,2,odin,86,12.417,1
18,12648448,1,2,cpp,92,12.709,1
19,12648449,0,1,cpp,81,11.37,1
20,12648450,1,2,cpp,106,13.862,1
21,12648451,0,2,odin,96,14.099,1
22,12648452,1,1,odin,87,12.196,1
23,12648453,0,2,odin,92,14.499,1
24,12648454,1,2,cpp,99,13.585,1
25,12648455,0,1,cpp,200,31.305,1
26,12648456,1,2,cpp,170,22.442,1
27,12648457,0,2,odin,80,12.475,1
28,12648458,1,2,cpp,80,11.942,1
29,12648459,0,2,odin,76,10.832,1
30,12648460,1,2,cpp,88,12.625,1
31,12648461,0,2,odin,68,10.119,1
32,12648462,1,1,odin,87,12.829,1
33,12648463,0,2,odin,86,13.679,1
34,12648464,1,1,odin,87,12.564,1
35,12648465,0,2,odin,78,12.021,1
36,12648466,1,2,cpp,85,11.937,1
37,12648467,0,2,odin,84,13.091,1
38,12648468,1,2,cpp,85,12.183,1
39,12648469,0,2,odin,92,13.538,1
40,12648470,1,2,cpp,94,12.899,1
41,12648471,0,2,odin,92,14.503,1
42,12648472,1,2,cpp,96,13.826,1
43,12648473,0,2,odin,84,12.82,1
44,12648474,1,2,cpp,83,11.972,1
45,12648475,0,1,cpp,93,12.421,1
46,12648476,1,2,cpp,83,11.466,1
47,12648477,0,2,odin,92,14.334,1
48,12648478,1,1,odin,89,12.715,1
49,12648479,0,1,cpp,152,22.648,1
50,12648480,1,2,cpp,88,12.395,1
51,12648481,0,1,cpp,79,11.474,1
52,12648482,1,2,cpp,90,12.277,1
53,12648483,0,1,cpp,152,23.968,1
54,12648484,1,1,odin,83,11.858,1
55,12648485,0,2,odin,86,12.787,1
56,12648486,1,1,odin,85,11.587,1
57,12648487,0,1,cpp,200,30.583,1
58,12648488,1,2,cpp,80,11.602,1
59,12648489,0,2,odin,78,11.603,1
60,12648490,1,2,cpp,147,20.934,1
61,12648491,0,2,odin,200,31.648,1
62,12648492,1,2,cpp,141,20.095,1
63,12648493,0,2,odin,72,12.993,1
64,12648494,1,2,cpp,94,12.699,1
65,12648495,0,2,odin,86,12.012,1
66,12648496,1,2,cpp,94,12.755,1
67,12648497,0,1,cpp,89,11.712,1
68,12648498,1,2,cpp,85,12.215,1
69,12648499,0,1,cpp,99,13.142,1
70,12648500,1,2,cpp,84,11.864,1
71,12648501,0,2,odin,82,11.619,1
72,12648502,1,1,odin,85,12.416,1
73,12648503,0,2,odin,76,10.64,1
74,12648504,1,2,cpp,87,12.204,1
75,12648505,0,2,odin,84,11.839,1
76,12648506,1,2,cpp,92,12.967,1
77,12648507,0,2,odin,80,11.596,1
78,12648508,1,1,odin,87,12.326,1
79,12648509,0,2,odin,84,13.376,1
80,12648510,1,1,odin,85,12.294,1
81,12648511,0,1,cpp,158,24.765,1
82,12648512,1,2,cpp,85,11.885,1
83,12648513,0,1,cpp,200,28.722,1
84,12648514,1,2,cpp,97,13.085,1
85,12648515,0,2,odin,82,11.463,1
86,12648516,1,2,cpp,104,14.426,1
87,12648517,0,2,odin,80,12.24,1
88,12648518,1,1,odin,83,11.336,1
89,12648519,0,2,odin,104,14.238,1
90,12648520,1,2,cpp,158,22.725,1
91,12648521,0,2,odin,84,12.459,1
92,12648522,1,1,odin,89,12.631,1
93,12648523,0,1,cpp,93,12.805,1
94,12648524,1,1,odin,87,12.447,1
95,12648525,0,2,odin,82,13.092,1
96,12648526,1,2,cpp,90,12.756,1
97,12648527,0,2,odin,72,11.189,1
98,12648528,1,1,odin,89,13.659,1
99,12648529,0,2,odin,86,12.705,1
